time,low,high,open,close,volume,token,Pivot,R1,S1,R2,S2,Buy_Signal,Sell_Signal,Position
2024-02-12,103.43,112.27,107.5,111.7,1181640.353,SOL,112.00333333333333,115.71666666666665,108.83666666666666,118.88333333333333,105.12333333333333,1,0,1
2024-02-11,107.33,110.78,109.02,107.5,627207.877,SOL,109.13333333333333,114.83666666666664,105.99666666666666,117.97333333333331,100.29333333333334,0,0,0
2024-02-10,106.9,110.99,106.96,109.01,941950.052,SOL,108.53666666666668,109.74333333333335,106.29333333333335,111.98666666666668,105.08666666666667,0,1,-1
2024-02-09,102.81,109.2,102.81,106.97,1420976.018,SOL,108.96666666666665,111.0333333333333,106.94333333333331,113.05666666666664,104.87666666666667,1,0,1
2024-02-08,100.51,105.22,101.14,102.79,1915568.973,SOL,106.32666666666667,109.84333333333333,103.45333333333333,112.71666666666667,99.93666666666667,1,0,1
2024-02-07,94.57,101.54,96.86,101.12,1039042.713,SOL,102.84000000000002,105.17000000000003,100.46000000000004,107.55000000000001,98.13000000000002,1,0,1
2024-02-06,93.04,97.9,95.52,96.86,1089514.294,SOL,99.07666666666667,103.58333333333334,96.61333333333333,106.04666666666668,92.10666666666665,1,0,1
2024-02-05,94.1,98.6,95.42,95.5,766785.397,SOL,95.93333333333334,98.82666666666667,93.96666666666667,100.79333333333334,91.07333333333334,0,0,0
2024-02-04,95.06,98.57,97.92,95.44,491448.05,SOL,96.06666666666666,98.03333333333333,93.53333333333333,100.56666666666666,91.56666666666666,0,1,-1
2024-02-03,96.58,101.2,100.55,97.93,728430.906,SOL,96.35666666666667,97.65333333333334,94.14333333333335,99.86666666666666,92.84666666666668,0,1,-1
2024-02-02,97.36,102.49,97.81,100.55,1243476.769,SOL,98.57000000000001,100.56000000000002,95.94000000000001,103.19000000000001,93.95,0,1,-1
2024-02-01,92.44,98.07,96.88,97.78,1830320.671,SOL,100.13333333333333,102.90666666666665,97.77666666666666,105.26333333333332,95.00333333333333,1,0,1
